"country"	"schizophrenia"	"depression"	"anxiety"	"bipolar"	"ed"	"gini"	"decade"	"continent"
"Bangladesh"	0.276914955	4.58540425	3.1496103	0.389619	0.1039801025	0.322577925	"2010-2019"	"Asia"
"China"	0.3006086825	3.038294675	3.5390798	0.1817609625	0.06769700875	0.3500882375	"1990-1999"	"Asia"
"China"	0.30218255	2.83927283333333	3.3582925	0.182086056666667	0.0793769066666667	0.4195051	"2000-2009"	"Asia"
"China"	0.305940803	2.73368256	3.17877411	0.181888539	0.1014187369	0.40012298	"2010-2019"	"Asia"
"India"	0.28053012	4.357048	2.930254	0.35491192	0.087561525	0.31555128	"1990-1999"	"Asia"
"India"	0.280229075	4.15400025	2.8058075	0.354114785	0.101314105	0.34448958	"2000-2009"	"Asia"
"India"	0.285884113333333	3.70526355	3.02034676666667	0.354105491666667	0.122305064833333	0.348496691666667	"2010-2019"	"Asia"
"Indonesia"	0.283887916	2.40329044	3.41862312	0.33092834	0.0854606608	0.31736102	"1990-1999"	"Asia"
"Indonesia"	0.284884622	2.38033001	3.42982552	0.330775578	0.0892004984	0.312100725	"2000-2009"	"Asia"
"Indonesia"	0.290050002	2.3737799	3.50812217	0.330659316	0.102760151	0.370527557	"2010-2019"	"Asia"
"Iran"	0.25222341	4.5597758	7.04603453333333	0.814335766666667	0.204659573333333	0.435662613333333	"1990-1999"	"Asia"
"Iran"	0.253395976666667	4.64367993333333	7.2016669	0.817408006666667	0.230822483333333	0.434535683333333	"2000-2009"	"Asia"
"Iran"	0.254037064444444	4.94280863333333	7.37597066666667	0.817503076666667	0.248271296666667	0.355159205555556	"2010-2019"	"Asia"
"Israel"	0.3016832	4.6223707	3.60199765	1.0495731	0.309642195	0.368021815	"1990-1999"	"Asia"
"Israel"	0.304720626666667	4.58750678888889	3.27615648888889	1.04897073333333	0.348049174444444	0.410982404444444	"2000-2009"	"Asia"
"Israel"	0.303034333	4.23009084	3.77891818	1.05078159	0.373358446	0.398727858	"2010-2019"	"Asia"
"Jordan"	0.254332515	4.5377809	4.803275	0.78379812	0.168667415	0.397600545	"1990-1999"	"Asia"
